unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
PC_HH,ES41	94.85 	95.60 	93.89 	88.97 	82.27 	79.15 	77.55 	73.93 	68.74 	67.04 	62.93 	56.09 	49.11 	44.29 	40.68 	38.05 	: 
PC_HH,ES42	95.02 	94.43 	93.23 	86.81 	80.93 	80.59 	78.25 	73.88 	66.84 	63.41 	60.63 	58.38 	52.00 	43.94 	38.63 	31.24 	: 
PC_HH,ES43	94.61 	94.55 	94.20 	89.30 	78.58 	79.40 	79.56 	71.62 	68.01 	63.04 	58.39 	52.96 	45.96 	40.43 	41.69 	28.90 	: 
PC_HH,ES5	96.99 	96.89 	96.26 	92.68 	87.60 	83.52 	82.01 	78.66 	75.07 	69.98 	66.65 	65.89 	61.51 	56.74 	54.27 	46.78 	: 
PC_HH,ES51	97.40 	96.87 	96.66 	94.00 	87.66 	83.70 	82.87 	80.73 	77.62 	72.13 	70.26 	70.14 	66.88 	61.79 	59.25 	50.25 	: 
PC_HH,ES52	96.25 	96.82 	95.81 	90.60 	86.80 	81.96 	80.73 	75.36 	70.64 	67.10 	60.11 	59.05 	52.84 	48.94 	47.24 	41.44 	: 
PC_HH,ES53	97.51 	97.27 	95.61 	93.13 	90.75 	89.32 	82.02 	80.04 	78.39 	68.92 	72.78 	68.74 	65.09 	59.03 	53.35 	48.08 	: 
PC_HH,ES6	94.91 	94.84 	94.73 	89.94 	84.30 	82.32 	80.80 	76.78 	72.83 	66.43 	63.31 	58.43 	53.24 	47.22 	42.21 	37.31 	: 
PC_HH,ES61	94.50 	94.47 	94.74 	89.68 	83.69 	81.67 	80.62 	76.36 	72.68 	66.33 	63.31 	58.25 	53.15 	47.35 	42.24 	37.47 	: 
PC_HH,ES62	96.94 	96.93 	94.38 	91.29 	87.36 	86.02 	81.39 	78.89 	72.77 	66.28 	62.88 	58.84 	52.60 	46.29 	41.32 	35.43 	: 
PC_HH,ES63	97.27 	92.51 	96.01 	91.68 u	91.69 	88.42 	83.93 	82.22 	81.35 	81.44 	71.25 	67.89 	63.38 	47.90 	49.28 	45.85 	: 
PC_HH,ES64	100.00 	98.62 	98.86 	91.24 	88.86 	80.83 	86.22 	78.46 	83.24 	66.62 	64.46 	63.27 	69.35 	51.00 	51.11 	49.02 	: 
PC_HH,ES7	96.94 	96.70 	96.18 	91.10 	87.35 	80.89 	82.12 	78.60 	72.61 	66.99 	63.94 	60.42 	56.68 	52.64 	50.53 	43.55 	: 
PC_HH,ES70	96.94 	96.70 	96.18 	91.10 	87.35 	80.89 	82.12 	78.60 	72.61 	66.99 	63.94 	60.42 	56.68 	52.64 	50.53 	43.55 	: 
PC_HH,FI	97.59 	96.56 	96.00 	94.36 	94.28 	94.42 	91.95 	89.93 	89.83 	89.24 	86.80 	84.16 	80.54 	77.78 	72.38 	68.78 	64.73 
PC_HH,FI1	97.59 	96.56 	96.00 	94.36 	94.28 	94.42 	91.95 	89.93 	89.83 	89.24 	86.80 	84.16 	80.54 	77.78 	72.38 	68.81 	64.68 
PC_HH,FI19	96.96 	96.55 	97.12 	93.36 	94.52 	93.24 	88.89 	87.98 	89.00 	86.66 	85.91 	83.25 	76.95 	73.73 	73.77 	68.17 	67.38 
PC_HH,FI1B	98.23 	99.07 	97.86 	96.60 	96.91 	98.10 	94.65 	95.26 	94.01 	93.00 	92.05 	: 	: 	: 	: 	: 	: 
PC_HH,FI1C	98.11 	95.80 	95.99 	95.04 	92.01 	92.70 	93.76 	87.12 	88.88 	90.13 	84.88 	: 	: 	: 	: 	: 	: 
PC_HH,FI1D	96.91 	94.11 	92.45 	91.97 	92.88 	92.70 	90.15 	88.25 	86.55 	86.59 	83.30 	81.91 	79.04 	74.38 	69.14 	63.89 	60.50 
PC_HH,FI2	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64.20 	: 
PC_HH,FI20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64.20 	: 
PC_HH,FR	92.25 	93.33 	: 	90.17 	88.56 	86.41 	85.87 	82.62 	82.96 	81.72 	80.00 	75.92 	73.61 	68.87 	62.32 	55.05 	40.93 
PC_HH,FR1	94.12 	96.11 	: 	93.16 	91.79 	90.79 	89.70 	87.08 	88.92 	87.08 	84.48 	84.35 	86.26 	76.04 	67.86 	: 	: 
PC_HH,FR10	94.12 	96.11 	: 	93.16 	91.79 	90.79 	89.70 	87.08 	88.92 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRB	90.04 	94.07 	: 	90.26 	89.45 	83.86 	85.64 	82.23 	83.01 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRB0	90.04 	94.07 	: 	90.26 	89.45 	83.86 	85.64 	82.23 	83.01 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRC	90.10 	91.80 	: 	88.06 	83.62 	85.03 	82.92 	77.88 	81.55 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRC1	88.36 	89.60 	: 	87.56 	83.18 	88.51 	84.33 	75.14 	77.47 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRC2	92.43 	94.36 	: 	88.79 	84.34 	80.69 	80.87 	82.29 	87.36 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRD	91.39 	92.03 	: 	87.57 	87.05 	83.11 	87.03 	81.95 	77.99 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRD1	90.20 	93.02 	: 	87.21 	85.74 	80.52 	86.37 	82.32 	69.67 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRD2	92.34 	91.34 	: 	87.92 	87.99 	85.00 	87.60 	81.69 	85.33 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRE	91.58 	90.75 	: 	87.91 	87.55 	84.28 	82.90 	79.28 	82.88 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRE1	92.06 	91.36 	: 	89.27 	87.30 	82.65 	82.67 	77.97 	83.18 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRE2	90.62 	89.55 	: 	85.14 	88.09 	87.32 	83.32 	82.21 	82.24 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRF	90.34 	93.41 	: 	89.03 	89.25 	86.72 	86.24 	82.74 	81.68 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRF1	92.84 	93.20 	: 	88.00 	90.81 	86.50 	84.49 	82.26 	83.46 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRF2	91.27 	92.26 	: 	87.40 	86.15 	85.77 	83.98 	81.78 	78.70 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRF3	88.18 	94.24 	: 	90.95 	90.02 	87.31 	88.90 	83.60 	81.83 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRG	94.13 	94.62 	: 	92.95 	90.20 	86.80 	85.32 	85.59 	83.59 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRG0	94.13 	94.62 	: 	92.95 	90.20 	86.80 	85.32 	85.59 	83.59 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRH	93.42 	91.78 	: 	92.80 	89.18 	85.68 	82.85 	80.69 	78.18 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRH0	93.42 	91.78 	: 	92.80 	89.18 	85.68 	82.85 	80.69 	78.18 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRI	92.23 	92.85 	: 	91.35 	87.33 	84.48 	86.36 	82.78 	83.37 	: 	: 	: 	: 	: 	: 	: 	: 
PC_HH,FRI1	92.28 	94.20 	: 	91.24 	90.64 	87.61 	88.60 	85.28 	83.87 	: 	: 	: 	: 	: 	: 	: 	: 
